a1,a2,a3,p(win),rank1,rank2,rank3
frc492,frc2930,frc3636,40.238183333333325,17,7,32
frc492,frc1540,frc6831,40.23541666666666,17,30,35
frc492,frc2522,frc4089,40.22633333333341,17,23,22
frc492,frc3674,frc997,40.22008333333331,17,12,8
frc492,frc568,frc997,40.216333333333324,17,47,8
frc492,frc4089,frc4915,40.20841666666673,17,22,42
frc492,frc2147,frc2412,40.203933333333254,17,4,45
frc492,frc2976,frc3636,40.1959166666667,17,2,32
frc492,frc6831,frc957,40.19291666666664,17,35,14
frc492,frc1425,frc1595,40.18178333333337,17,31,5
frc492,frc2522,frc2990,40.16458333333337,17,23,28
frc492,frc4089,frc955,40.1633166666667,17,22,10
frc492,frc2557,frc6350,40.13971666666666,17,18,20
frc492,frc1294,frc1595,40.133933333333424,17,39,5
frc492,frc2046,frc2412,40.132750000000065,17,11,45
frc492,frc2471,frc3636,40.122833333333375,17,3,32
frc492,frc1595,frc7034,40.118333333333354,17,5,19
frc492,frc2522,frc3218,40.11033333333336,17,23,25
frc492,frc1595,frc4125,40.10741666666669,17,5,38
frc492,frc1540,frc2471,40.09591666666668,17,30,3
frc492,frc4513,frc997,40.09471666666669,17,37,8
frc492,frc3711,frc957,40.088916666666634,17,21,14
frc492,frc7461,frc955,40.08668333333336,17,27,10
frc492,frc3636,frc955,40.07201666666665,17,32,10
frc492,frc4043,frc488,40.068350000000024,17,48,34
frc492,frc2046,frc8532,40.06633333333338,17,11,50
frc492,frc5827,frc997,40.05504999999995,17,29,8
frc492,frc1425,frc4131,40.05018333333334,17,31,33
frc492,frc1425,frc3663,40.04638333333336,17,31,24
frc492,frc2471,frc4488,40.040366666666685,17,3,9
frc492,frc1595,frc4513,40.03931666666669,17,5,37
frc492,frc3674,frc488,40.038583333333364,17,12,34
frc492,frc2471,frc2930,40.03621666666668,17,3,7
frc492,frc6831,frc955,40.02740000000006,17,35,10
frc492,frc2976,frc8248,40.022083333333356,17,2,49
frc492,frc3636,frc488,40.01808333333332,17,32,34
frc492,frc3663,frc6831,40.01591666666665,17,24,35
frc492,frc3711,frc568,40.01341666666668,17,21,47
frc492,frc1899,frc4089,39.98851666666668,17,36,22
frc492,frc4512,frc7461,39.982999999999976,17,13,27
frc492,frc2522,frc955,39.97671666666667,17,23,10
frc492,frc3786,frc997,39.975300000000004,17,44,8
frc492,frc2471,frc4911,39.96475000000006,17,3,6
frc492,frc3663,frc4911,39.96408333333335,17,24,6
frc492,frc4915,frc7461,39.95666666666671,17,42,27
frc492,frc2635,frc3711,39.95049999999999,17,46,21
frc492,frc2046,frc4915,39.94483333333334,17,11,42
frc492,frc360,frc3663,39.94383333333329,17,26,24
frc492,frc2990,frc4488,39.92851666666663,17,28,9
frc492,frc1540,frc957,39.926583333333355,17,30,14
frc492,frc2147,frc4488,39.916883333333374,17,4,9
frc492,frc2521,frc360,39.8994,17,16,26
frc492,frc2147,frc4125,39.88921666666667,17,4,38
frc492,frc1425,frc2928,39.880033333333394,17,31,40
frc492,frc1595,frc8532,39.87850000000008,17,5,50
frc492,frc1359,frc1595,39.875949999999996,17,41,5
frc492,frc2471,frc3674,39.87416666666673,17,3,12
frc492,frc1425,frc6350,39.857016666666716,17,31,20
frc492,frc1294,frc2046,39.85343333333334,17,39,11
frc492,frc488,frc955,39.85091666666666,17,34,10
frc492,frc2811,frc3663,39.849083333333276,17,15,24
frc492,frc2635,frc7461,39.840249999999976,17,46,27
frc492,frc2471,frc2557,39.83289999999995,17,3,18
frc492,frc2811,frc7461,39.82983333333331,17,15,27
frc492,frc2046,frc568,39.821250000000134,17,11,47
frc492,frc1359,frc488,39.81025,17,41,34
frc492,frc1294,frc4089,39.809133333333335,17,39,22
frc492,frc2412,frc6350,39.796833333333346,17,45,20
frc492,frc1425,frc997,39.79345000000006,17,31,8
frc492,frc5827,frc6350,39.788716666666694,17,29,20
frc492,frc4089,frc568,39.7857500000001,17,22,47
frc492,frc2521,frc7034,39.78574999999997,17,16,19
frc492,frc2928,frc4488,39.77403333333336,17,40,9
frc492,frc2522,frc6350,39.773583333333306,17,23,20
frc492,frc2471,frc4915,39.76483333333334,17,3,42
frc492,frc2557,frc2930,39.75346666666671,17,18,7
frc492,frc2147,frc4915,39.749749999999985,17,4,42
frc492,frc4512,frc6350,39.74391666666666,17,13,20
