a1,a2,a3,p(win),rank1,rank2,rank3
frc492,frc2522,frc955,64.64866666666674,17,23,10
frc492,frc1540,frc7461,64.60658333333339,17,30,27
frc492,frc2522,frc7461,64.58850000000004,17,23,27
frc492,frc2557,frc3218,64.58016666666674,17,18,25
frc492,frc2147,frc5920,64.52874999999996,17,4,43
frc492,frc4915,frc955,64.51316666666659,17,42,10
frc492,frc4911,frc5920,64.50350000000009,17,6,43
frc492,frc2811,frc2976,64.49816666666669,17,15,2
frc492,frc4125,frc955,64.48233333333339,17,38,10
frc492,frc4125,frc7461,64.46233333333328,17,38,27
frc492,frc2990,frc957,64.43759523809521,17,28,14
frc492,frc1595,frc2521,64.43299999999999,17,5,16
frc492,frc1294,frc2990,64.42558333333331,17,39,28
frc492,frc2521,frc3636,64.39239285714292,17,16,32
frc492,frc5920,frc955,64.32041666666665,17,43,10
frc492,frc1425,frc360,64.31036666666668,17,31,26
frc492,frc488,frc4911,64.30332142857144,17,34,6
frc492,frc3636,frc3674,64.27983333333344,17,32,12
frc492,frc1294,frc4911,64.24775000000002,17,39,6
frc492,frc1425,frc5827,64.2402000000001,17,31,29
frc492,frc4125,frc7034,64.20050000000005,17,38,19
frc492,frc1899,frc2471,64.19716666666662,17,36,3
frc492,frc2990,frc4125,64.18173571428572,17,28,38
frc492,frc1595,frc4512,64.17391666666667,17,5,13
frc492,frc2811,frc3663,64.15916666666672,17,15,24
frc492,frc4125,frc4488,64.14086666666678,17,38,9
frc492,frc3674,frc4911,64.13298333333344,17,12,6
frc492,frc1540,frc1595,64.12066666666671,17,30,5
frc492,frc3636,frc4512,64.10040000000002,17,32,13
frc492,frc4488,frc4915,64.08861666666665,17,9,42
frc492,frc3674,frc7461,64.07324999999993,17,12,27
frc492,frc1294,frc2147,64.05299999999988,17,39,4
frc492,frc2976,frc360,64.03583333333331,17,2,26
frc492,frc4089,frc5920,64.01691666666667,17,22,43
frc492,frc4488,frc6350,64.00941666666665,17,9,20
frc492,frc2976,frc5827,64.00575,17,2,29
frc492,frc2990,frc4915,63.919783333333385,17,28,42
frc492,frc3786,frc4089,63.8920833333333,17,44,22
frc492,frc1899,frc2990,63.88574999999991,17,36,28
frc492,frc3636,frc5827,63.83443333333335,17,32,29
frc492,frc1425,frc2811,63.80086666666659,17,31,15
frc492,frc1294,frc4089,63.76066666666677,17,39,22
frc492,frc2521,frc2811,63.73199999999995,17,16,15
frc492,frc3218,frc3636,63.68495238095232,17,25,32
frc492,frc3711,frc7034,63.57473809523805,17,21,19
frc492,frc2930,frc3674,63.56720000000001,17,7,12
frc492,frc4488,frc488,63.55330000000007,17,9,34
frc492,frc1425,frc2557,63.485733333333314,17,31,18
frc492,frc2976,frc3663,63.47150000000003,17,2,24
frc492,frc2522,frc2930,63.450333333333425,17,23,7
frc492,frc4488,frc5920,63.3276666666666,17,9,43
frc492,frc6831,frc7034,63.31866666666679,17,35,19
frc492,frc3636,frc957,63.31425000000011,17,32,14
frc492,frc2471,frc4915,63.28975000000011,17,3,42
frc492,frc2147,frc3786,63.23891666666663,17,4,44
frc492,frc2557,frc2811,63.19408333333338,17,18,15
frc492,frc1294,frc955,63.18733333333338,17,39,10
frc492,frc3674,frc955,63.1474999999999,17,12,10
frc492,frc4488,frc4513,63.14241666666672,17,9,37
frc492,frc2471,frc3711,63.1423928571429,17,3,21
frc492,frc2990,frc5920,63.13438095238095,17,28,43
frc492,frc7461,frc997,63.07451190476196,17,27,8
frc492,frc1540,frc2811,63.0699166666666,17,30,15
frc492,frc3636,frc6831,63.02950000000004,17,32,35
frc492,frc2147,frc488,62.992561904761935,17,4,34
frc492,frc2557,frc3663,62.97883333333334,17,18,24
frc492,frc2147,frc6350,62.96800000000002,17,4,20
frc492,frc1595,frc360,62.911166666666624,17,5,26
frc492,frc2471,frc6350,62.90824999999996,17,3,20
frc492,frc2471,frc4125,62.894999999999925,17,3,38
frc492,frc1540,frc3636,62.80677380952388,17,30,32
frc492,frc1425,frc4512,62.787649999999964,17,31,13
frc492,frc6350,frc955,62.726083333333435,17,20,10
frc492,frc2522,frc3636,62.720999999999925,17,23,32
frc492,frc3218,frc3663,62.71350000000004,17,25,24
frc492,frc1425,frc3218,62.69735714285711,17,31,25
frc492,frc1595,frc5827,62.68241666666666,17,5,29
frc492,frc3663,frc5827,62.67891666666667,17,24,29
frc492,frc2557,frc3674,62.55941666666663,17,18,12
frc492,frc2976,frc4512,62.54333333333341,17,2,13
frc492,frc1294,frc7034,62.54249999999997,17,39,19
frc492,frc3218,frc360,62.51858333333336,17,25,26
frc492,frc2990,frc6831,62.48808333333329,17,28,35
frc492,frc6350,frc7034,62.4840833333333,17,20,19
frc492,frc2522,frc5827,62.48224999999998,17,23,29
frc492,frc2147,frc4513,62.47633333333332,17,4,37
frc492,frc1899,frc7461,62.45233333333333,17,36,27
frc492,frc2930,frc488,62.450226190476215,17,7,34
frc492,frc1540,frc4512,62.44033333333333,17,30,13
frc492,frc1425,frc957,62.436916666666626,17,31,14
frc492,frc3786,frc7461,62.4028333333333,17,44,27
frc492,frc5920,frc7034,62.34716666666655,17,43,19
frc492,frc2930,frc4125,62.342800000000025,17,7,38
frc492,frc2522,frc2811,62.33383333333335,17,23,15
frc492,frc2471,frc4513,62.31824999999992,17,3,37
frc492,frc2930,frc4915,62.30781666666677,17,7,42
frc492,frc360,frc5827,62.26111666666674,17,26,29
frc492,frc7034,frc997,62.21261904761898,17,19,8
frc492,frc1425,frc3663,62.202416666666714,17,31,24
frc492,frc955,frc997,62.2001428571429,17,10,8
frc492,frc2976,frc957,62.15741666666664,17,2,14
frc492,frc1899,frc2930,62.104116666666634,17,36,7
frc492,frc2930,frc5920,62.078083333333375,17,7,43
frc492,frc3636,frc3663,62.06374999999997,17,32,24
frc492,frc2521,frc4512,62.05273333333322,17,16,13
frc492,frc1540,frc5827,62.03214999999994,17,30,29
frc492,frc2930,frc3711,62.0252142857143,17,7,21
frc492,frc6831,frc7461,62.01983333333339,17,35,27
frc492,frc2147,frc4915,62.00074999999991,17,4,42
frc492,frc1425,frc2521,61.9878333333334,17,31,16
frc492,frc3711,frc955,61.958738095238026,17,21,10
frc492,frc1899,frc3636,61.93111666666668,17,36,32
frc492,frc1595,frc2522,61.92733333333332,17,5,23
frc492,frc3663,frc4512,61.907916666666665,17,24,13
frc492,frc3636,frc3786,61.889283333333275,17,32,44
frc492,frc488,frc955,61.841883333333335,17,34,10
frc492,frc2990,frc3711,61.83272619047621,17,28,21
frc492,frc2990,frc488,61.79627619047617,17,28,34
frc492,frc3218,frc957,61.75730714285709,17,25,14
frc492,frc3636,frc5920,61.7536666666667,17,32,43
frc492,frc2521,frc5827,61.7479666666666,17,16,29
frc492,frc2147,frc997,61.728357142857206,17,4,8
frc492,frc1425,frc1595,61.72191666666674,17,31,5
frc492,frc2521,frc360,61.69133333333326,17,16,26
frc492,frc1294,frc2930,61.68384999999994,17,39,7
frc492,frc1595,frc957,61.65291666666673,17,5,14
frc492,frc2471,frc6831,61.63866666666672,17,3,35
frc492,frc2976,frc3674,61.63508333333337,17,2,12
